State/UT,2020,2021,2022
Andhra Pradesh,49108,42588,36737
Arunachal Pradesh,259,413,453
Assam,10051,13356,9622
Bihar,62814,96077,136756
Chhattisgarh,37957,40114,47243
Goa,973,892,968
Gujarat,317770,458682,389503
Haryana,89119,93711,117414
Himachal Pradesh,5827,5792,5822
Jharkhand,12537,13081,15633
Karnataka,43730,47969,51281
Kerala,405625,382317,218978
Madhya Pradesh,144165,171852,190388
Maharashtra,144986,173582,182974
Manipur,637,720,885
Meghalaya,873,756,711
Mizoram,502,729,546
Nagaland,489,445,584
Odisha,25697,30464,34776
Punjab,33005,27127,29887
Rajasthan,67099,70017,76714
Sikkim,171,196,270
Tamil Nadu,485981,433901,279543
Telangana,11619,12678,13981
Tripura,643,655,879
Uttar Pradesh,302815,250177,351888
Uttarakhand,43520,19171,17640
West Bengal,24307,24323,24036
A&N Islands,2060,946,1129
Chandigarh,671,594,717
D&N Haveli and,92,89,89
Daman & Diu,,,
Delhi,16878,14485,19845
Jammu & Kashmir,3678,4228,4282
Ladakh,16,40,39
Lakshadweep,40,39,33
Puducherry,1215,744,1321
