State/UT,Violent Crimes,Murder,Kidnapping & Abduction,Crime Against Women,Crime Against Children,Cyber Crimes,Human Trafficking
Andhra Pradesh,7104,925,903,25503,3308,2341,163
Arunachal Pradesh,440,56,70,335,143,14,4
Assam,14314,1072,4560,14148,4084,1733,140
Bihar,49610,2930,11822,20222,8122,1621,260
Chhattisgarh,8848,1013,2740,8693,6177,439,26
Goa,396,44,84,273,184,90,1
Gujarat,9015,959,1846,7731,4964,1417,9
Haryana,13447,1020,3891,16743,6138,681,13
Himachal Pradesh,1858,85,413,1551,740,77,5
Jharkhand,13323,1550,1899,7678,1917,967,100
Karnataka,17091,1404,3365,17813,7988,12556,18
Kerala,9462,334,403,15213,5640,773,135
Madhya Pradesh,27118,1978,10409,32765,20415,826,81
Maharashtra,45358,2295,12260,45331,20762,8249,295
Manipur,631,47,100,248,120,18,0
Meghalaya,571,72,139,690,496,75,2
Mizoram,187,31,9,147,135,1,0
Nagaland,121,21,28,49,35,4,0
Odisha,43566,1379,5854,23648,8240,1983,121
Punjab,6230,670,1654,5572,2494,697,21
Rajasthan,24183,1834,8824,45058,9370,1833,117
Sikkim,149,9,46,179,159,26,0
Tamil Nadu,12325,1690,737,9207,6580,2082,1
Telangana,9673,937,2981,22066,5657,15297,391
Tripura,1327,109,105,752,220,30,0
Uttar Pradesh,52579,3491,16263,65743,18682,10117,126
Uttarakhand,3923,187,1169,4337,1706,559,16
West Bengal,46241,1696,8088,34738,8950,401,67
A&N Islands,99,7,15,178,146,28,0
Chandigarh,344,18,141,325,224,27,1
D&N Haveli and,146,16,51,126,107,5,0
Daman & Diu,,509,5641,14247,7468,,
Delhi,11477,99,1046,3716,920,685,106
Jammu & Kashmir,2715,5,8,15,8,173,8
Ladakh,33,0,0,16,11,3,0
Lakshadweep,5,30,24,200,139,1,0
Puducherry,199,684,6926,18823,9023,64,23
