City,2020,2021,2022
Ahmedabad (Gujarat),61395,24665,22872
Bengaluru (Karnataka),19964,21548,28666
Chennai (Tamil Nadu),88388,46077,15086
Coimbatore (Tamil Nadu),10112,3738,4542
Delhi City,245844,289045,298988
Ghaziabad (Uttar Pradesh),7328,12259,9860
Hyderabad (Telangana),15978,17951,20668
Indore (Madhya Pradesh),13406,16017,16636
Jaipur (Rajasthan),18940,23339,28171
Kanpur (Uttar Pradesh),5450,7237,11721
Kochi (Kerala),5973,5934,13273
Kolkata (West Bengal),15517,13067,11038
Kozhikode (Kerala),5013,5139,8074
Lucknow (Uttar Pradesh),14515,14175,15115
Mumbai (Maharashtra),50158,63689,69289
Nagpur (Maharashtra),13457,13312,12889
Patna (Bihar),10286,12137,12522
Pune (Maharashtra),32513,9511,11074
Surat (Gujarat),33824,32097,9872
