City,2020,2021,2022
Ahmedabad (Gujarat),21214,71790,30973
Bengaluru (Karnataka),14192,14762,17521
Chennai (Tamil Nadu),80062,69170,24052
Coimbatore (Tamil Nadu),13932,10225,4708
Delhi City,16599,14248,19567
Ghaziabad (Uttar Pradesh),5247,4236,3347
Hyderabad (Telangana),2077,2191,2515
Indore (Madhya Pradesh),6446,8008,10491
Jaipur (Rajasthan),6695,8187,8790
Kanpur (Uttar Pradesh),9984,2589,3539
Kochi (Kerala),12342,28033,15493
Kolkata (West Bengal),2760,1524,1175
Kozhikode (Kerala),11853,5332,3515
Lucknow (Uttar Pradesh),4823,2961,3943
Mumbai (Maharashtra),8518,15193,19809
Nagpur (Maharashtra),5793,8990,6278
Patna (Bihar),4304,5739,8871
Pune (Maharashtra),3334,3458,3099
Surat (Gujarat),25780,44700,45428
